frame_index,timestamp_ms,width,height,gap_ms
623,25879,480,640,36
624,25903,480,640,24
625,25949,480,640,45
626,25981,480,640,31
627,26004,480,640,23
628,26045,480,640,40
629,26070,480,640,25
630,26106,480,640,35
631,26137,480,640,30
632,26179,480,640,41
633,26213,480,640,34
634,26237,480,640,24
635,26279,480,640,41
636,26311,480,640,32
637,26339,480,640,28
638,26371,480,640,31
639,26411,480,640,40
640,26443,480,640,31
641,26479,480,640,36
642,26510,480,640,30
643,26548,480,640,38
644,26574,480,640,25
645,26610,480,640,36
646,26647,480,640,36
647,26681,480,640,34
648,26708,480,640,26
649,26744,480,640,36
650,26785,480,640,40
651,26811,480,640,26
652,26873,480,640,62
653,26879,480,640,6
654,26904,480,640,24
655,26944,480,640,40
656,26982,480,640,37
657,27008,480,640,26
658,27047,480,640,38
659,27086,480,640,38
660,27111,480,640,25
661,27149,480,640,38
662,27182,480,640,32
663,27211,480,640,28
664,27241,480,640,30
665,27286,480,640,45
666,27309,480,640,23
667,27337,480,640,28
668,27375,480,640,37
669,27414,480,640,38
670,27452,480,640,38
671,27484,480,640,31
672,27509,480,640,24
673,27542,480,640,32
674,27575,480,640,33
675,27621,480,640,45
676,27643,480,640,21
677,27675,480,640,32
678,27723,480,640,47
679,27748,480,640,25
680,27770,480,640,21
681,27815,480,640,44
682,27852,480,640,37
683,27883,480,640,31
684,27918,480,640,34
685,27953,480,640,35
686,27990,480,640,36
687,28018,480,640,28
688,28050,480,640,31
689,28080,480,640,29
690,28120,480,640,39
691,28149,480,640,28
692,28184,480,640,35
693,28215,480,640,30
694,28238,480,640,23
695,28300,480,640,61
696,28322,480,640,21
697,28346,480,640,24
698,28383,480,640,37
699,28412,480,640,28
700,28450,480,640,37
701,28479,480,640,28
702,28508,480,640,29
703,28547,480,640,38
704,28587,480,640,39
705,28611,480,640,24
706,28640,480,640,29
707,28696,480,640,56
708,28726,480,640,29
709,28750,480,640,24
710,28779,480,640,29
711,28809,480,640,29
712,28846,480,640,37
713,28884,480,640,38
714,28909,480,640,24
715,28944,480,640,35
716,28986,480,640,41
717,29018,480,640,32
718,29046,480,640,27
719,29083,480,640,37
720,29127,480,640,43
721,29151,480,640,24
722,29188,480,640,36
723,29228,480,640,39
724,29253,480,640,25
725,29295,480,640,42
726,29321,480,640,26
727,29339,480,640,17
728,29383,480,640,44
729,29422,480,640,39
730,29446,480,640,23
731,29483,480,640,37
732,29514,480,640,31
733,29550,480,640,35
734,29581,480,640,31
735,29615,480,640,34
736,29651,480,640,35
737,29678,480,640,26
738,29711,480,640,33
739,29757,480,640,45
740,29787,480,640,29
741,29820,480,640,33
742,29851,480,640,31
743,29883,480,640,31
744,29925,480,640,42
745,29956,480,640,30
746,29984,480,640,28
747,30024,480,640,39
748,30056,480,640,32
749,30078,480,640,21
750,30117,480,640,38
751,30146,480,640,29
752,30192,480,640,45
753,30216,480,640,24
754,30245,480,640,28
755,30285,480,640,40
756,30319,480,640,33
757,30354,480,640,35
758,30383,480,640,28
759,30416,480,640,33
760,30459,480,640,42
761,30488,480,640,28
762,30515,480,640,27
763,30556,480,640,40
764,30585,480,640,29
765,30613,480,640,28
766,30648,480,640,35
767,30688,480,640,39
768,30725,480,640,37
769,30747,480,640,22
770,30780,480,640,33
771,30822,480,640,41
772,30851,480,640,28
773,30883,480,640,32
774,30918,480,640,34
775,30960,480,640,42
776,30995,480,640,34
777,31015,480,640,20
778,31055,480,640,40
779,31098,480,640,43
780,31117,480,640,18
781,31153,480,640,36
782,31193,480,640,39
783,31221,480,640,28
784,31247,480,640,26
785,31290,480,640,42
786,31322,480,640,31
787,31349,480,640,27
788,31386,480,640,36
789,31419,480,640,33
790,31455,480,640,35
791,31491,480,640,35
792,31519,480,640,27
793,31547,480,640,28
794,31589,480,640,41
795,31620,480,640,30
796,31648,480,640,28
797,31692,480,640,44
798,31726,480,640,34
799,31753,480,640,26
800,31795,480,640,42
801,31823,480,640,28
802,31855,480,640,31
803,31884,480,640,29
804,31919,480,640,34
805,31960,480,640,41
806,31997,480,640,37
807,32027,480,640,29
